disease,ayurvedic_herbs,formulation,duration_of_treatment,diet_and_lifestyle_recommendations,yoga__physical_therapy,environmental_factors,patient_recommendations
Cough,"Tulsi, Ashwagandha","Ginger (2g), Honey (1 tsp)",1-2 weeks,Avoid cold foods; stay hydrated; consume warm liquids.,"Anulom Vilom, Pranayama","Dry, Cold Air, Dusty Air","Stay hydrated, rest"
Diabetes,"Jamun, Gudmar",Fenugreek (3g daily),Lifetime management,Avoid sugary foods; focus on low-GI foods; regular exercise.,"Surya Namaskar, Pranayama","High Sugar, Sedentary Life","Healthy diet, exercise"
Hypertension,"Ashwagandha, Arjuna",Ashwagandha (5g daily),Lifetime management,Reduce salt; practice yoga and meditation; avoid spicy foods.,"Surya Namaskar, Meditation","Hot weather, Salt intake","Limit salt, exercise"
Migraine,"Brahmi, Jatamansi",Peppermint (2 drops in water),3-4 days for relief,Maintain regular meal times; avoid bright lights; stay hydrated.,"Anulom Vilom, Pranayama","Bright lights, Loud sounds","Sleep, avoid triggers"
Arthritis,"Ashwagandha, Guggul","Turmeric (1/2 tsp), Milk (200ml)",Variable,Consume anti-inflammatory foods; stay active; avoid cold exposure.,"Yoga for flexibility, Strength","Cold, Damp weather","Exercise, joint care"
Common Cold,"Tulsi, Ginger","Tulsi leaves (5), Ginger (1g)",7-10 days,Rest well; consume warm foods; avoid dairy temporarily.,"Pranayama, Anulom Vilom","Cold Air, Viral Infection","Hydration, rest"
Indigestion,"Triphala, Ajwain","Ajwain seeds (1 tsp), Water (200ml)",1-3 days,Avoid processed foods; eat smaller meals; stay active.,"Pranayama, Yogasanas","Overeating, Spicy foods","Avoid heavy meals, stress"
Asthma,"Ashwagandha, Tulsi","Mulethi (1/2 tsp), Honey (1 tsp)",Lifelong management,Avoid cold and dusty environments; practice breathing exercises.,"Pranayama, Kapalbhati","Dust, Pollution","Avoid triggers, use inhaler"
Constipation,"Triphala, Isabgol","Triphala (1 tsp), Warm water (200ml)",2-3 days,Increase fiber intake; stay hydrated; practice regular bowel routines.,"Paschimottanasana, Pranayama","Low water intake, Stress",Increase fiber intake
Insomnia,"Ashwagandha, Jatamansi","Brahmi (1 tsp), Warm milk (200ml)","Variable, up to 4 weeks",Establish a sleep routine; avoid caffeine; practice meditation.,"Anulom Vilom, Yoga Nidra","Noise, Bright light, Caffeine","Sleep hygiene, relax"
Obesity,"Guggul, Triphala","Guggulu (500mg), Warm water (200ml)","Variable, long-term",Avoid heavy and oily foods; focus on exercise; eat light dinners.,"Surya Namaskar, Walking","Overeating, Sedentary lifestyle","Exercise, balanced diet"
Skin Allergy,"Neem, Tulsi","Aloe vera gel (fresh, 2 tsp)",1-2 weeks,Avoid allergens; wear loose clothing; consume cooling foods.,"Anulom Vilom, Pranayama","Dust, Pollen, Chemicals","Avoid triggers, moisturize"
Anxiety,"Brahmi, Ashwagandha","Ashwagandha (1 tsp), Tulsi (5 leaves)",2-4 weeks,Practice yoga; avoid stimulants; focus on mindfulness.,"Meditation, Deep Breathing","Overwork, Personal issues","Relaxation, therapy"
Fever,"Tulsi, Ginger","Coriander seeds (1 tsp), Ginger (1g)",3-5 days,"Rest; stay hydrated; consume light, warm meals.","Surya Namaskar, Pranayama","Infections, Viral outbreaks","Hydration, rest"
Acidity,"Amla, Ajwain","Aloe vera (10ml), Water (200ml)",1-3 days,Avoid spicy foods; eat cooling foods like cucumber.,"Yogasanas, Pranayama","Overeating, Stress, Spicy foods",Eat smaller meals
Acne,"Neem, Turmeric","Neem leaves (5g), Water (10ml)",2-4 weeks,Avoid fried foods; include turmeric and green vegetables.,"Anulom Vilom, Kapalbhati","Pollution, Oily skin","Healthy diet, proper skincare"
Acromegaly,"Ashwagandha, Brahmi",Ashwagandha (3g daily),Long-term,"Avoid heavy meals; consume balanced, nutrient-rich foods.",Yoga for joint flexibility,"Genetic mutations, Tumors",Monitor hormone levels
Acute Kidney Injury,"Punarnava, Gokshura","Punarnava (3g), Warm water (200ml)","Varies, depends on cause",Avoid salty and processed foods; stay hydrated.,"Pranayama, Surya Namaskar","Dehydration, High blood pressure",Monitor Kidney Function
Addison's Disease,"Ashwagandha, Licorice","Licorice root (2g), Warm water (200ml)",Lifelong,"Include salty foods; consume small, frequent meals.","Gentle Yoga, Restorative Practices","Stress, Infections",Regular Monitoring of Hormone Levels
Adrenal Insufficiency,"Ashwagandha, Licorice","Ashwagandha (2g), Warm water (200ml)",Lifelong,Avoid stress; practice yoga and meditation.,Yoga for Stress Relief,"Stress, Infections",Regular Medication
Alkaptonuria,"Guggulu, Ashwagandha","Turmeric (1/2 tsp), Milk (200ml)",Lifelong,Avoid heavy meals; perform light exercises and consume warm meals.,"Gentle Yoga, Joint Exercises","Genetic mutation, High protein intake",Avoid High-Protein Diet
Allergies,"Brahmi, Ashwagandha","Tulsi leaves (5g), Warm water (200ml)","Varies, depends on allergen",Avoid cold foods; include herbal teas in the diet.,"Pranayama, Breathing Exercises","Dust, Pollen, Chemicals, Pollution",Avoid Allergen Exposure
Alopecia,"Bhringraj, Amla",Bhringraj oil (as needed),Varies,Avoid spicy foods; massage scalp regularly with herbal oils.,"Gentle Yoga, Head Massage","Genetic, Stress",Regular Scalp Massage
Alzheimer's Disease,"Brahmi, Ashwagandha","Brahmi (3g), Warm water (200ml)","Progressive, Lifelong",Include brain-boosting herbs like Brahmi; engage in memory exercises.,"Meditation, Memory Exercises","Genetic predisposition, Aging",Cognitive Exercises
Amebiasis,"Kutki, Triphala","Pomegranate rind (5g), Warm water (200ml)","Varies, depending on severity",Avoid raw foods; consume easily digestible meals.,Yoga for Digestion,"Poor sanitation, Contaminated water",Good Hygiene Practices
Amyotrophic Lateral Sclerosis (ALS),"Ashwagandha, Brahmi","Shankhpushpi (10ml), Water (200ml)","Progressive, Lifelong",Avoid stress; include grounding and nourishing foods.,"Gentle Yoga, Stretching","Genetic mutation, Environmental toxins",Physical Therapy for Mobility
Anxiety,"Ashwagandha, Brahmi","Jatamansi (3g), Warm water (200ml)","Varies, depends on severity",Avoid caffeine; practice mindfulness and relaxation techniques.,"Pranayama, Meditation","Overwork, Personal issues",Practice Relaxation
Argininemia,None specific,"Brahmi (2g), Warm water (200ml)",Lifelong,Include protein-restricted diet; practice stress management.,None specific,"Genetic, High-protein intake",Regular Monitoring of Arginine Levels
Argininosuccinic Aciduria,None specific,"Amalaki (10ml), Water (200ml)",Lifelong,Avoid high-protein foods; consume fresh fruits and vegetables.,None specific,"Genetic, High-protein intake",Regular Monitoring of Arginine Levels
Arrhythmia,"Arjuna, Brahmi","Arjuna bark (3g), Warm water (200ml)",Lifelong,Avoid caffeine; include grounding foods and practice meditation.,"Pranayama, Surya Namaskar","High caffeine intake, Sedentary lifestyle",Monitor Heart Rate
Arthritis,"Guggulu, Ashwagandha","Turmeric (1/2 tsp), Milk (200ml)",Lifelong,"Avoid cold foods; consume warm, cooked meals and do light exercises.",Yoga for Flexibility,"Weather changes, Joint strain",Weight Management
Ascariasis,"Haritaki, Trifala","Neem leaves (5g), Warm water (200ml)",Varies,Avoid raw and contaminated foods; focus on hygiene.,Yoga for Digestion,"Poor sanitation, Contaminated food",Good Hygiene Practices
Asparagine Synthetase Deficiency,None specific,"Brahmi (10ml), Water (200ml)",Lifelong,"Avoid processed foods; provide a nutrient-rich, balanced diet.",None specific,Genetic mutation,Genetic Counseling
Aspartylglucosaminuria,None specific,"Ashwagandha (2g), Warm water (200ml)",Lifelong,Avoid heavy foods; provide fresh fruits and vegetables.,None specific,"Genetic mutation, Poor protein metabolism",Genetic Counseling
Asthma,"Brahmi, Tulsi","Tulsi leaves (3g), Ginger (1g), Warm water (200ml)",Lifelong,Avoid cold and damp environments; practice pranayama regularly.,"Pranayama, Kapalbhati","Pollen, Dust, Pollution","Avoid Cold, Allergens"
Atherosclerosis,"Arjuna, Ashwagandha","Garlic (2 cloves), Warm water (200ml)",Lifelong,Avoid fatty foods; include fiber-rich and antioxidant foods.,"Pranayama, Surya Namaskar","High-fat diet, Smoking, Lack of exercise",Regular Exercise
Autosomal Dominant Polycystic Kidney Disease,"Punarnava, Gokshura","Punarnava (3g), Warm water (200ml)",Lifelong,Avoid salty foods; drink plenty of water to flush the system.,"Pranayama, Yoga for Kidney Health","Genetic predisposition, High blood pressure",Regular Kidney Monitoring
Back Pain,"Guggulu, Ashwagandha",Mahanarayan oil (as needed),Varies,Avoid heavy lifting; practice stretching and yoga regularly.,Yoga for Back Pain,"Poor posture, Lack of exercise","Proper Posture, Exercise"
Barth Syndrome,"Arjuna, Ashwagandha","Shatavari (2g), Warm milk (200ml)",Lifelong,Include nutrient-dense foods and avoid strenuous activities.,"Gentle Yoga, Cardiovascular Yoga","Genetic mutation, Stress",Regular Monitoring of Heart Health
Arrhythmia,"Ashwagandha, Brahmi","Triphala (1 tsp), Warm water (200ml)",Lifelong,Avoid sugary foods; focus on a balanced diet and regular meals.,Physical Therapy for Developmental Delays,"High caffeine intake, Sedentary lifestyle","Regular Monitoring, Surgical Intervention"
Arthritis,None specific,Triphala decoction (5ml),Lifelong,Avoid eye strain; include Vitamin A-rich foods like carrots.,"Eye Exercises, Vision Training","Weather changes, Joint strain",Regular Eye Checkups
Ascariasis,None specific,"Amalaki (10ml), Water (200ml)",Lifelong,Include biotin-rich foods like nuts and seeds.,None specific,"Poor sanitation, Contaminated food",Biotin Supplementation
Asparagine Synthetase Deficiency,"Neem, Turmeric","Turmeric (1/2 tsp), Honey (1 tsp)",6-12 months,Avoid cold foods; consume warm soups and herbal teas.,None specific,Genetic mutation,Avoid Soil Contact
Aspartylglucosaminuria,None specific,"Neem leaves (5g), Water (as needed)",Lifelong,Avoid direct sunlight; apply aloe vera gel for skin care.,None specific,"Genetic mutation, Poor protein metabolism",Genetic Counseling
Asthma,"Ashwagandha, Shallaki","Hadjod powder (2g), Warm water (200ml)",6-8 weeks (varies),Include calcium-rich foods; avoid cold foods and drinks.,"Stretching, Strengthening Exercises","Pollen, Dust, Pollution","Adequate Rest, Bone Strengthening"
Atherosclerosis,None specific,"Turmeric (1g), Warm water (200ml)",2-4 weeks,Avoid processed foods; stay hydrated and consume light meals.,"Breathing Exercises, Physical Therapy","High-fat diet, Smoking, Lack of exercise",Proper Food Storage
Autosomal Dominant Polycystic Kidney Disease,"Ashwagandha, Guggulu",Ashwagandha (5g daily),6 months to lifelong,Avoid fatty foods; include antioxidant-rich foods like berries.,"Yoga for Strength, Post-Surgery Rehab","Genetic predisposition, High blood pressure","Regular Screening, Healthy Lifestyle"
Back Pain,"Tulsi, Licorice","Mulethi (3g), Warm water (200ml)",2-4 weeks,Avoid cold drinks; inhale steam with eucalyptus oil.,"Breathing Exercises, Chest Therapy","Poor posture, Lack of exercise","Rest, Hydration"
Barth Syndrome,None specific,"Giloy (5g), Warm water (200ml)",6-8 weeks,Avoid raw milk; include immunity-boosting herbs.,None specific,"Genetic mutation, Stress","Regular Monitoring, Antibiotics"
Brugada Syndrome,None specific,"Arjuna (3g), Warm water (200ml)",Lifelong,Avoid stress and caffeine; include magnesium-rich foods.,"Gentle Yoga, Stress Reduction","Genetic, Emotional stress",Regular Monitoring of Heart Function
Bubonic Plague,None specific,"Neem (5g), Turmeric (2g)",2-4 weeks,Practice hygiene; avoid crowded places and eat light meals.,None specific,"Poor sanitation, Rodent exposure","Good Hygiene, Avoid Rodent Areas"
Buruli Ulcer,None specific,"Turmeric (1g), Water (as needed)",6-12 months,Avoid spicy foods; clean ulcers with antiseptic solutions.,None specific,"Poor sanitation, Tropical environments",Proper Wound Care
COVID-19,"Ashwagandha, Tulsi","Giloy (3g), Tulsi leaves (5g), Warm water (200ml)","2-4 weeks, may vary","Practice hygiene, stay hydrated, and boost immunity with herbs.","Pranayama, Breathing Exercises","Airborne transmission, Crowded places","Stay Hydrated, Rest"
Canavan Disease,None specific,"Shankhpushpi (10ml), Warm water (200ml)",Lifelong,"Provide a nutrient-dense, balanced diet; avoid stress.",None specific,"Genetic mutation, Brain development issues",Genetic Counseling
Carbamoyl Phosphate Synthetase I Deficiency Disease,None specific,"Amalaki (10ml), Water (200ml)",Lifelong,"Avoid high-protein foods; provide small, frequent meals.",None specific,"Genetic mutation, Urea cycle disruption",Regular Monitoring of Arginine Levels
Cardiomyopathy,"Arjuna, Ashwagandha","Arjuna (5g), Warm water (200ml)",Lifelong,Avoid heavy exertion; include antioxidant-rich foods.,"Pranayama, Cardio Yoga","High blood pressure, Alcohol use","Regular Exercise, Avoid Salt"
Carpal Tunnel Syndrome,"Ashwagandha, Turmeric",Dashmool oil (as needed),"Varies, depending on severity",Avoid repetitive wrist motions; perform hand stretches daily.,"Wrist Exercises, Stretching","Repetitive movements, Sedentary work","Hand Exercises, Correct Posture"
Celiac Disease,"Kutki, Triphala","Ajwain (3g), Warm water (200ml)",Lifelong,"Avoid gluten; include rice, lentils, and fresh vegetables.",None specific,"Gluten exposure, Poor diet",Strict Gluten-Free Diet
Cerebrotendinous Xanthomatosis,None specific,"Brahmi (2g), Warm milk (200ml)",Lifelong,Include antioxidant-rich foods; avoid fatty foods.,None specific,"Genetic mutation, Cholesterol build-up","Genetic Counseling, Monitoring"
Chagas Disease,None specific,"Neem (3g), Tulsi (3g), Warm water (200ml)",Lifelong,Avoid raw foods; maintain proper hygiene and rest.,None specific,Vector-borne (Triatomine bugs),Good Hygiene Practices
Chickenpox,"Neem, Tulsi","Neem leaves (10g), Warm water (bath)",1-2 weeks,Avoid spicy foods; drink coconut water and stay hydrated.,None specific,"Airborne transmission, Crowded places","Rest, Hydration, Antihistamines"
Chikungunya,"Ashwagandha, Guggulu","Giloy (3g), Warm water (200ml)",1-2 weeks,Avoid heavy physical activity; drink warm soups and herbal teas.,"Pranayama, Joint Stretches","Mosquito-borne, Tropical environments","Rest, Hydration, Pain Relief"
Chromoblastomycosis,"Neem, Turmeric","Turmeric (2g), Neem (2g)",6-12 months,Maintain proper hygiene; avoid raw and contaminated foods.,None specific,"Poor sanitation, Moist environments",Proper Wound Care
Chronic Kidney Disease (CKD),"Punarnava, Gokshura","Punarnava (5g), Warm water (200ml)",Lifelong,Avoid salty foods; drink plenty of water to flush toxins.,"Pranayama, Kidney Yoga","High blood pressure, Diabetes",Monitor Kidney Function
Chronic Obstructive Pulmonary Disease (COPD),"Tulsi, Ginger","Mulethi (3g), Warm water (200ml)",Lifelong,Avoid smoking and cold environments; practice pranayama.,"Pranayama, Chest Exercises","Air pollution, Smoking","Quit Smoking, Regular Check-ups"
Ciguatera Poisoning,None specific,"Ginger (2g), Honey (1 tsp)",1-2 weeks,Stay hydrated; avoid seafood and consume warm foods.,None specific,"Contaminated seafood, Tropical waters",Avoid Contaminated Fish
Clonorchiasis,None specific,"Kutki (2g), Warm water (200ml)",2-4 weeks,"Avoid fatty foods; include light, easily digestible meals.",None specific,"Poor sanitation, Raw fish consumption","Good Hygiene, Proper Cooking"
Coffin-Lowry Syndrome,None specific,Ashwagandha (5g daily),Lifelong,"Provide a balanced, nutrient-rich diet; avoid processed foods.",None specific,"Genetic mutation, Developmental delay",Genetic Counseling
Cold,"Ginger, Tulsi","Ginger (2g), Tulsi (5g), Warm water (200ml)",7-10 days,Avoid cold drinks; drink warm soups and inhale steam regularly.,"Restorative Yoga, Breathing","Exposure to cold weather, Crowded areas","Hydration, Rest"
Colorectal Cancer,"Ashwagandha, Guggulu","Amalaki (10ml), Water (200ml)",6 months to lifelong,Include fiber-rich foods; avoid processed and fatty foods.,Yoga for Post-Surgery Rehabilitation,"Poor diet, Sedentary lifestyle","Regular Screening, Healthy Lifestyle"
Constipation,"Triphala, Ajwain","Isabgol (1 tsp), Warm water (200ml)",2-4 weeks,Include fiber-rich foods; drink warm water with lemon in the morning.,"Yoga for Digestion, Abdominal Breathing","Lack of exercise, Stress","Increase Fiber Intake, Regular Exercise"
Contact Dermatitis,"Aloe Vera, Neem",Fresh aloe vera gel,1-4 weeks,Avoid allergens; apply soothing herbal pastes and avoid spicy foods.,"Gentle Skin Care, Moisturization","Exposure to chemicals, Allergens","Proper Skin Care, Avoid Irritants"
Coronary Artery Disease,"Arjuna, Guggulu","Arjuna (5g), Warm water (200ml)",Lifelong,Avoid oily and fatty foods; include whole grains and exercise regularly.,"Yoga for Heart Health, Breathing Exercises","High blood pressure, Smoking, Obesity","Regular Exercise, Low-Cholesterol Diet"
